seed,episode,soups,sampled_roles,teacher_roles,evolving_roles,static_roles
0,0,0.0,1-0-0,1-0-0,1-0-1,0-0-1
0,1,0.0,2-0-1,2-0-1,1-0-1,0-0-1
0,2,2.0,2-0-2,2-0-2,1-0-1,0-0-1
0,3,2.0,2-2-0,2-0-2,2-0-1,0-0-1
0,4,0.0,0-0-1,0-0-1,2-0-1,0-0-1
0,5,2.0,2-1-2,2-1-2,2-0-1,0-0-1
0,6,2.0,1-2-0,1-2-0,2-0-1,0-0-1
0,7,2.0,1-2-1,1-2-1,2-0-1,0-0-1
0,8,2.0,0-2-2,0-2-2,2-0-1,0-0-1
0,9,0.0,1-0-1,1-0-0,2-0-1,0-0-1
0,10,2.0,2-1-1,1-2-0,2-0-1,0-0-1
0,11,0.0,1-2-1,1-0-0,2-0-1,0-0-1
0,12,2.0,2-0-2,2-0-2,1-0-1,0-0-1
0,13,2.0,0-2-2,0-2-2,1-0-2,0-0-1
0,14,0.0,0-0-1,2-0-2,2-0-2,0-0-1
0,15,0.0,0-2-2,2-0-2,2-0-2,0-0-1
0,16,0.0,1-1-0,0-2-2,1-0-2,0-0-1
0,17,0.0,0-1-0,2-1-2,1-0-2,0-0-1
0,18,0.0,1-1-0,2-0-2,2-0-2,0-0-1
0,19,0.0,1-1-0,1-2-0,2-0-2,0-0-1
0,20,0.0,0-2-0,1-2-0,2-0-2,0-0-1
0,21,2.0,2-0-0,0-2-2,2-0-2,0-0-1
0,22,0.0,0-1-0,2-0-2,2-0-2,0-0-1
0,23,0.0,0-1-2,1-2-1,2-0-2,0-0-1
0,24,2.0,1-2-2,1-2-2,2-0-2,0-0-1
0,25,0.0,2-2-2,1-2-1,2-0-2,0-0-1
0,26,0.0,1-1-2,1-2-0,1-0-2,0-0-1
0,27,0.0,2-0-0,1-2-2,1-0-2,0-0-1
0,28,1.0,0-2-0,2-0-2,1-2-2,0-0-1
0,29,2.0,2-2-0,1-2-0,1-2-2,0-0-1
0,30,0.0,2-2-2,1-2-2,1-2-2,0-0-1
0,31,0.0,1-0-0,0-2-2,1-2-2,0-0-1
0,32,2.0,0-2-1,0-2-1,1-2-2,0-0-1
0,33,1.0,0-0-2,1-2-0,1-2-2,0-0-1
0,34,0.0,0-1-1,1-2-2,1-2-2,0-0-1
0,35,2.0,1-0-2,1-0-2,1-2-2,0-0-1
0,36,2.0,2-1-2,1-2-1,1-2-2,0-0-1
0,37,2.0,2-0-0,1-2-0,1-2-2,0-0-1
0,38,2.0,0-2-2,0-2-2,1-2-2,0-0-1
0,39,3.0,2-1-0,2-1-0,1-2-2,0-0-1
0,40,0.0,1-0-0,1-2-1,1-2-2,0-0-1
0,41,0.0,2-0-0,0-2-2,1-2-2,0-0-1
0,42,2.0,2-0-2,1-2-0,1-2-2,0-0-1
0,43,2.0,1-2-2,2-1-0,1-2-2,0-0-1
0,44,2.0,1-2-2,1-2-1,1-2-2,0-0-1
0,45,0.0,1-0-2,0-2-2,1-2-2,0-0-1
0,46,0.0,1-0-1,2-1-0,1-2-2,0-0-1
0,47,3.0,1-0-2,1-0-2,1-2-2,0-0-1
0,48,0.0,1-1-0,0-2-2,1-2-2,0-0-1
0,49,2.0,2-1-2,2-1-0,1-2-2,0-0-1
0,50,0.0,0-1-1,0-2-2,1-2-2,0-0-1
0,51,0.0,2-2-2,0-2-1,1-2-2,0-0-1
0,52,0.0,0-1-0,1-0-2,1-2-2,0-0-1
0,53,0.0,1-0-0,1-2-0,1-2-2,0-0-1
0,54,2.0,2-0-1,2-1-0,1-2-2,0-0-1
0,55,2.0,1-2-2,0-2-1,1-2-2,0-0-1
0,56,0.0,0-1-0,1-2-0,1-2-2,0-0-1
0,57,0.0,0-1-0,2-1-0,1-2-2,0-0-1
0,58,2.0,0-1-2,0-1-2,1-2-0,0-0-1
0,59,2.0,2-0-0,0-2-1,1-2-2,0-0-1
0,60,0.0,2-2-2,0-2-2,1-2-2,0-0-1
0,61,2.0,2-0-0,1-0-2,1-2-2,0-0-1
0,62,0.0,0-1-1,0-1-2,1-2-0,0-0-1
0,63,2.0,2-1-2,0-2-2,1-2-2,0-0-1
0,64,2.0,2-2-1,1-0-2,1-2-2,0-0-1
0,65,2.0,1-1-2,0-2-2,1-2-2,0-0-1
0,66,0.0,2-2-2,2-1-0,1-2-2,0-0-1
0,67,2.0,1-1-2,0-2-1,0-2-2,0-0-1
0,68,3.0,2-0-1,2-0-1,0-2-2,0-0-1
0,69,0.0,1-0-1,0-1-2,0-2-2,0-0-1
0,70,0.0,0-1-1,2-1-0,0-2-2,0-0-1
0,71,3.0,2-0-1,1-0-2,0-2-2,0-0-1
0,72,2.0,2-1-1,0-2-1,0-2-2,0-0-1
0,73,0.0,1-1-0,1-0-2,0-2-2,0-0-1
0,74,0.0,0-2-2,0-1-2,0-2-2,0-0-1
0,75,0.0,1-1-1,0-2-2,0-2-2,0-0-1
0,76,0.0,0-1-0,0-2-2,0-2-2,0-0-1
0,77,2.0,1-2-2,0-2-2,0-2-2,0-0-1
0,78,0.0,0-0-0,0-2-1,0-2-2,0-0-1
0,79,3.0,1-2-0,1-2-0,0-2-2,0-0-1
0,80,0.0,0-0-0,0-2-2,0-2-2,0-0-1
0,81,2.0,2-1-0,2-0-1,0-2-2,0-0-1
0,82,0.0,1-1-1,1-2-0,0-2-2,0-0-1
0,83,3.0,2-1-0,2-1-0,0-2-2,0-0-1
0,84,0.0,2-0-2,2-0-1,0-2-2,0-0-1
0,85,2.0,1-0-2,0-2-1,0-2-2,0-0-1
0,86,0.0,0-2-1,1-2-0,0-2-2,0-0-1
0,87,2.0,2-2-1,0-2-1,0-2-2,0-0-1
0,88,2.0,0-2-2,1-0-2,0-2-2,0-0-1
0,89,0.0,2-0-2,1-2-0,0-2-2,0-0-1
0,90,0.0,0-1-1,0-2-1,0-2-2,0-0-1
0,91,3.0,1-2-0,1-2-0,0-2-2,0-0-1
0,92,0.0,2-2-0,2-1-0,0-2-2,0-0-1
0,93,3.0,0-1-2,0-1-2,0-2-2,0-0-1
0,94,0.0,0-0-0,0-1-2,0-2-2,0-0-1
0,95,3.0,0-2-1,0-2-1,0-2-2,0-0-1
0,96,2.0,0-0-2,0-1-2,0-2-2,0-0-1
0,97,2.0,2-2-0,1-2-0,0-2-2,0-0-1
0,98,2.0,1-1-2,1-0-2,0-2-2,0-0-1
0,99,2.0,2-0-1,0-1-2,0-2-2,0-0-1
0,100,2.0,1-1-2,1-2-0,0-2-2,0-0-1
0,101,3.0,1-0-2,0-2-1,0-2-2,0-0-1
0,102,0.0,1-1-0,1-2-0,0-2-2,0-0-1
0,103,3.0,0-2-1,0-2-1,0-2-2,0-0-1
0,104,0.0,1-2-1,1-2-0,0-2-2,0-0-1
0,105,2.0,2-2-1,0-2-1,0-2-2,0-0-1
0,106,1.0,0-0-2,0-2-1,0-2-2,0-0-1
0,107,0.0,0-0-2,1-2-0,0-2-1,0-0-1
0,108,0.0,1-1-1,1-2-0,0-2-1,0-0-1
0,109,2.0,2-0-2,1-0-2,1-2-2,0-0-1
0,110,0.0,1-1-1,1-0-2,1-2-2,0-0-1
0,111,2.0,1-2-1,1-2-0,1-2-0,0-0-1
0,112,2.0,2-1-1,0-1-2,0-2-0,0-0-1
0,113,2.0,0-2-0,1-2-0,1-2-0,0-0-1
0,114,3.0,0-1-2,0-1-2,1-2-0,0-0-1
0,115,0.0,0-0-0,1-0-2,1-2-0,0-0-1
0,116,3.0,0-1-2,0-1-2,1-2-2,0-0-1
0,117,0.0,1-0-0,0-1-2,1-2-0,0-0-1
0,118,2.0,1-2-2,0-2-1,1-2-2,0-0-1
0,119,2.0,0-2-1,1-0-2,1-2-2,0-0-1
0,120,0.0,1-1-1,0-2-1,1-2-2,0-0-1
0,121,3.0,2-1-0,0-1-2,1-2-2,0-0-1
0,122,0.0,0-0-1,0-2-1,1-2-2,0-0-1
0,123,0.0,0-0-0,1-2-0,1-2-2,0-0-1
0,124,0.0,0-2-0,1-0-2,1-2-2,0-0-1
0,125,2.0,2-1-2,0-1-2,1-2-2,0-0-1
0,126,0.0,2-1-0,0-2-1,0-2-2,0-0-1
0,127,0.0,0-0-2,0-1-2,0-2-2,0-0-1
0,128,2.0,0-1-2,1-2-0,1-2-2,0-0-1
0,129,2.0,1-2-1,0-1-2,0-2-2,0-0-1
0,130,2.0,0-2-0,0-1-2,0-2-2,0-0-1
0,131,0.0,0-0-1,0-1-2,0-2-2,0-0-1
0,132,3.0,1-2-0,1-0-2,0-2-2,0-0-1
0,133,2.0,2-2-1,0-1-2,0-2-2,0-0-1
0,134,0.0,0-1-1,1-0-2,0-2-2,0-0-1
