checkpoint,evaluation_games_per_condition,learned_mean_soups,static_mean_soups,teacher_mean_soups,agent_0_agreement,agent_0_hybrid_soups,agent_1_agreement,agent_1_hybrid_soups,agent_2_agreement,agent_2_hybrid_soups
0,12,0.0,0.0,,,,,,,
40,12,1.8333333333333333,0.0,5.0,0.3333333333333333,3.75,0.3333333333333333,1.0833333333333333,0.25,4.166666666666667
80,12,4.5,0.0,6.0,1.0,6.0,0.4166666666666667,2.5,0.4166666666666667,4.583333333333333
120,12,4.5,0.0,6.0,1.0,6.0,0.75,4.5,0.75,5.25
160,12,4.5,0.0,6.0,1.0,6.0,0.75,4.5,0.75,5.25
200,12,4.5,0.0,6.0,1.0,6.0,0.75,4.5,0.75,5.25
240,12,4.5,0.0,6.0,1.0,6.0,0.75,4.5,0.75,5.25
280,12,4.5,0.0,6.0,1.0,6.0,0.75,4.5,0.75,5.25
320,12,4.5,0.0,6.0,1.0,6.0,0.75,4.5,0.75,5.25
360,12,4.75,0.0,6.0,1.0,6.0,0.9166666666666666,5.5,0.75,5.25
